-- 支出 -- 
日期, 帳戶, 帳戶貨幣, 類別, 金額, 描述 
2021/05/08, 生活費, TWD, 早餐, 24,  
2021/05/08, 生活費, TWD, 日常用品, 28,  
2021/05/08, 生活費, TWD, 購物, 49,  
2021/05/08, 生活費, TWD, 購物, 72,  
2021/05/08, 生活費, TWD, 午餐, 125,  
2021/05/08, 生活費, TWD, 日常用品, 138,  
2021/05/08, 生活費, TWD, 購物, 220,  
2021/05/09, 生活費, TWD, 零食, 25,  
2021/05/09, 生活費, TWD, 加油, 93,  
2021/05/09, 生活費, TWD, 午餐, 219,  
2021/05/10, 生活費, TWD, 午餐, 70,  
2021/05/10, 生活費, TWD, 晚餐, 115,  
2021/05/11, 生活費, TWD, 晚餐, 30,  
2021/05/11, 生活費, TWD, 午餐, 75,  
2021/05/12, 生活費, TWD, 手續費, 5,  
2021/05/12, 生活費, TWD, 午餐, 90,  
2021/05/12, 生活費, TWD, 晚餐, 93,  
2021/05/12, 生活費, TWD, 晚餐, 140,  
2021/05/13, 生活費, TWD, 飲料, 20,  
2021/05/13, 生活費, TWD, 午餐, 60,  
2021/05/13, 生活費, TWD, 加油, 85,  
2021/05/14, 生活費, TWD, 午餐, 139,  
2021/05/15, 生活費, TWD, 午餐, 105,  
2021/05/18, 生活費, TWD, 午餐, 65,  
2021/05/19, 生活費, TWD, 午餐, 90,  
2021/05/19, 生活費, TWD, 晚餐, 95,  
2021/05/20, 生活費, TWD, 午餐, 90,  
2021/05/20, 生活費, TWD, 晚餐, 115,  
2021/05/22, 生活費, TWD, 日常用品, 77,  
2021/05/22, 生活費, TWD, 日常用品, 139,  
2021/05/23, 生活費, TWD, 晚餐, 140,  
2021/05/23, 生活費, TWD, 午餐, 174,  
2021/05/24, 生活費, TWD, 飲料, 25,  
2021/05/24, 生活費, TWD, 午餐, 90,  
2021/05/25, 生活費, TWD, 午餐, 100,  
2021/05/25, 生活費, TWD, 晚餐, 123,  
2021/05/26, 生活費, TWD, 晚餐, 75,  
2021/05/26, 生活費, TWD, 午餐, 90,  
2021/05/26, 生活費, TWD, 加油, 94,  
2021/05/27, 生活費, TWD, 飲料, 70,  
2021/05/27, 生活費, TWD, 午餐, 110,  
2021/05/27, 生活費, TWD, 晚餐, 139,  
2021/05/28, 生活費, TWD, 午餐, 111,  
2021/05/29, 生活費, TWD, 日常用品, 85,  
2021/05/29, 生活費, TWD, 電話費, 588,  
2021/05/31, 生活費, TWD, 午餐, 65,  
2021/05/31, 生活費, TWD, 晚餐, 135,  
2021/06/01, 生活費, TWD, 午餐, 60,  
2021/06/01, 生活費, TWD, 晚餐, 80,  
2021/06/02, 生活費, TWD, 午餐, 60,  
2021/06/02, 生活費, TWD, 晚餐, 70,  
2021/06/03, 生活費, TWD, 午餐, 123,  
2021/06/04, 生活費, TWD, 午餐, 112,  


-- 收入 -- 
日期, 帳戶, 帳戶貨幣, 類別, 金額, 描述 
2020/07/28, 生活費, TWD, 獎金, 200, 彩卷獎金 


-- transfer -- 
日期, 轉出帳戶, 轉出貨幣, 轉入帳戶, 轉入貨幣, 金額 
